assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
20,8,21,,3,46,13,Kozlov,0,45,8456887,12,33,0.71739,L,5,12,19941995,0,0,0.13402,L,97,Vyacheslav Kozlov,DET,
20,10,23,0.37037,2,74,13,Bertuzzi,0,121,8459444,-17,33,0.44594,R,2,8,19971998,1,2,0.12745,L,102,Todd Bertuzzi,"NYI,VAN",772.1486
21,9,28,,3,82,12,Broten,0,22,8445724,7,33,0.40243,C,0,1,19921993,3,4,0.09756,L,123,Neal Broten,MNS,
21,7,25,0.31343,1,64,12,Richer,0,22,8450825,-10,33,0.51562,R,3,5,19981999,2,3,0.08633,R,139,Stephane Richer,TBL,1006.5312
21,8,26,,3,80,12,Konstantinov,0,138,8456870,30,33,0.4125,D,1,4,19931994,3,3,0.12371,R,97,Vladimir Konstantinov,DET,
21,8,24,,0,75,12,Warriner,0,41,8458941,-3,33,0.44,L,2,7,19961997,2,2,0.08219,L,146,Todd Warriner,TOR,
22,8,25,0.18181,1,68,11,Drulia,0,24,8456117,-18,33,0.48529,R,1,6,19992000,2,2,0.11702,R,94,Stan Drulia,TBL,995.647
22,8,26,,1,59,11,Nylander,0,36,8458573,-7,33,0.55932,C,3,7,19921993,0,0,0.12941,L,85,Michael Nylander,HFD,
22,8,22,0.57142,5,58,11,Alfredsson,0,14,8460621,8,33,0.56896,R,3,11,19981999,0,0,0.06748,R,163,Daniel Alfredsson,OTT,1042.0862
23,8,30,,1,76,10,Carpenter,0,51,8445977,7,33,0.43421,C,0,1,19931994,2,2,0.08,L,125,Bobby Carpenter,NJD,
23,7,18,,1,44,10,Gilmour,0,26,8447206,-5,33,0.75,C,3,15,19941995,0,0,0.13698,L,73,Doug Gilmour,TOR,
23,8,21,,1,68,10,McSorley,0,169,8449516,-20,33,0.48529,D,1,9,19951996,1,3,0.07692,R,130,Marty McSorley,"LAK,NYR",
23,4,16,,2,46,10,Pivonka,0,50,8450408,3,33,0.71739,C,4,13,19941995,2,4,0.125,L,80,Michal Pivonka,WSH,
23,9,24,0.47916,4,81,10,Niedermayer,0,46,8459427,-5,33,0.4074,C,1,9,19992000,0,0,0.07407,L,135,Rob Niedermayer,FLA,1144.3333
23,6,19,0.51533,2,70,10,Arnott,0,99,8459429,-24,33,0.47142,C,4,14,19971998,0,0,0.05025,R,199,Jason Arnott,"EDM,NJD",1120.0571
25,3,16,,2,76,8,Chiasson,0,62,8446051,3,33,0.43421,D,5,16,19951996,0,1,0.04571,L,175,Steve Chiasson,CGY,
25,4,22,,1,80,8,Van Allen,0,64,8452147,0,33,0.4125,C,2,8,19931994,2,3,0.07692,L,104,Shaun Van Allen,ANA,
25,3,11,,0,64,8,Wesley,0,47,8452371,-2,33,0.51562,D,4,20,19921993,1,2,0.04371,L,183,Glen Wesley,BOS,
25,6,15,,2,74,8,Woolley,1,52,8458454,14,33,0.44594,D,2,18,19992000,0,0,0.07079,L,113,Jason Woolley,BUF,1071.0405
25,2,14,,0,79,8,Niedermayer,0,46,8458517,5,33,0.41772,D,6,16,19951996,0,3,0.04469,L,179,Scott Niedermayer,NJD,
