assists,gamesPlayed,gamesStarted,fullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
2,76,76,Miikka Kiprusoff,0,197,2.68739,Kiprusoff,26,10.0,8,8462147,2,0.90601,1899.0,20072008,L,2096.0,2,CGY,,263899,39
7,64,60,Mike Vernon,0,210,3.53793,Vernon,16,,47,8452217,7,0.87697,1497.0,19871988,L,1707.0,1,CGY,7.0,213684,39
2,63,63,Tony Esposito,0,136,2.17046,Esposito,17,,2,8446720,2,0.93182,1859.0,19691970,R,1995.0,15,CHI,8.0,225574,38
2,67,67,Mike Smith,0,144,2.21356,Smith,18,10.0,16,8469608,2,0.9303,1922.0,20112012,L,2066.0,8,PHX,,234192,38
3,60,60,Roberto Luongo,0,126,2.10604,Luongo,15,7.0,2,8466141,3,0.92812,1627.0,20102011,L,1753.0,4,VAN,,215380,38
0,70,70,Glenn Hall,0,155,2.21534,Hall,20,,2,8449988,0,0.928,1998.0,19561957,L,2153.0,4,DET,12.0,251880,38
1,67,67,Jacques Plante,0,144,2.16,Plante,16,,11,8450066,1,0.92515,1780.0,19581959,L,1924.0,9,MTL,13.0,240000,38
1,62,62,Patrick Roy,0,143,2.32029,Roy,15,,15,8451033,1,0.92315,1718.0,19961997,L,1861.0,7,COL,7.0,221868,38
2,72,70,Carey Price,0,165,2.35369,Price,28,6.0,13,8471679,2,0.92314,1982.0,20102011,L,2147.0,8,MTL,,252369,38
0,67,67,Juuse Saros,0,173,2.64007,Saros,25,3.0,0,8477424,0,0.91789,1934.0,20212022,L,2107.0,4,NSH,,235902,38
1,66,66,Frederik Andersen,0,182,2.80826,Andersen,21,5.0,2,8475883,1,0.91768,2029.0,20172018,L,2211.0,5,TOR,,233311,38
3,71,71,Craig Anderson,0,186,2.63496,Anderson,25,7.0,16,8467950,3,0.9167,2047.0,20092010,L,2233.0,7,COL,,254121,38
0,75,75,Martin Brodeur,0,154,2.02874,Brodeur,26,,4,8455710,0,0.91653,1691.0,20032004,L,1845.0,11,NJD,11.0,273273,38
2,70,70,Henrik Lundqvist,0,168,2.42729,Lundqvist,25,7.0,0,8468685,2,0.91629,1839.0,20082009,L,2007.0,3,NYR,,249166,38
1,59,59,Jaroslav Halak,0,144,2.43383,Halak,17,4.0,2,8470860,1,0.91392,1529.0,20142015,L,1673.0,6,NYI,,212997,38
2,56,56,Dominik Hasek,0,114,2.04738,Hasek,11,6.0,20,8447687,2,0.91291,1195.0,20062007,L,1309.0,8,DET,,200451,38
0,70,70,Ed Giacomin,0,175,2.55528,Giacomin,23,,2,8449979,0,0.91116,1795.0,19681969,L,1970.0,7,NYR,7.0,246548,38
4,67,64,Marty Turco,0,140,2.23174,Turco,20,5.0,18,8460612,4,0.91048,1424.0,20062007,L,1564.0,6,DAL,,225832,38
3,72,71,Don Edwards,0,185,2.63924,Edwards,16,,12,8446597,3,0.90609,1785.0,19771978,L,1970.0,5,BUF,17.0,252345,38
2,60,57,Martin Gerber,0,162,2.7828,Gerber,14,6.0,4,8469675,2,0.90575,1557.0,20052006,L,1719.0,3,CAR,,209573,38
4,73,73,Martin Brodeur,0,156,2.15322,Brodeur,26,,8,8455710,4,0.90574,1499.0,20012002,L,1655.0,4,NJD,9.0,260818,38
5,65,63,Kirk McLean,0,176,2.74129,McLean,17,,0,8449474,5,0.90112,1604.0,19911992,L,1780.0,5,VAN,9.0,231132,38
2,63,62,Alexandar Georgiev,0,183,3.01818,Georgiev,18,5.0,4,8480382,2,0.89717,1588.0,20232024,L,1770.0,2,COL,,218277,38
4,72,71,Tim Cheveldae,0,226,3.20133,Cheveldae,23,,6,8446082,4,0.88574,1752.0,19911992,L,1978.0,2,DET,9.0,254144,38
0,50,50,Bill Durnan,0,109,2.18,Durnan,5,,2,8449910,0,,,19431944,L,,2,MTL,7.0,180000,38
0,50,50,Bill Durnan,0,121,2.42,Durnan,8,,0,8449910,0,,,19441945,L,,1,MTL,4.0,180000,38
0,44,44,Tiny Thompson,0,98,2.19402,Thompson,5,,0,8450127,0,,,19291930,L,,3,BOS,1.0,160800,38
3,67,66,Dominik Hasek,0,153,2.27397,Hasek,20,,30,8447687,3,0.92971,2024.0,19961997,L,2177.0,5,BUF,10.0,242219,37
4,67,64,Martin Brodeur,0,120,1.87584,Brodeur,14,,8,8455710,4,0.92651,1513.0,19961997,L,1633.0,10,NJD,13.0,230296,37
2,63,63,Ben Bishop,0,133,2.2251,Bishop,14,7.0,4,8471750,2,0.92434,1625.0,20132014,L,1758.0,5,TBL,,215181,37
2,63,61,Jimmy Howard,0,141,2.26185,Howard,15,10.0,2,8470657,2,0.92374,1708.0,20092010,L,1849.0,3,DET,,224418,37
1,62,62,Carey Price,0,138,2.23292,Price,20,5.0,4,8471679,1,0.92307,1656.0,20162017,L,1794.0,3,MTL,,222488,37
0,71,71,Niklas Backstrom,0,159,2.33363,Backstrom,24,8.0,6,8473404,0,0.92277,1900.0,20082009,L,2059.0,8,MIN,,245283,37
1,74,74,Cam Ward,0,184,2.55698,Ward,26,10.0,0,8470320,1,0.92252,2191.0,20102011,L,2375.0,4,CAR,,259055,37
2,62,62,Ed Belfour,0,141,2.2633,Belfour,20,,24,8445386,2,0.92235,1675.0,20022003,L,1816.0,7,TOR,5.0,224274,37
3,63,63,Jacob Markstrom,0,137,2.22412,Markstrom,15,9.0,10,8474593,3,0.92189,1617.0,20212022,L,1754.0,9,CGY,,221750,37
2,52,50,Ken Dryden,0,105,2.05308,Dryden,7,,0,8446490,2,0.92152,1233.0,19771978,L,1338.0,5,MTL,7.0,184113,37
0,57,57,Darcy Kuemper,0,138,2.54085,Kuemper,12,4.0,2,8475311,0,0.92132,1616.0,20212022,L,1754.0,5,COL,,195525,37
0,60,60,Connor Hellebuyck,0,142,2.38833,Hellebuyck,19,4.0,2,8476945,0,0.92102,1656.0,20232024,L,1798.0,5,WPG,,214040,37
3,65,65,Sergei Bobrovsky,0,158,2.42358,Bobrovsky,22,6.0,0,8475683,3,0.92072,1835.0,20172018,L,1993.0,5,CBJ,,234694,37
3,67,67,Dominik Hasek,0,137,2.10543,Hasek,24,,22,8447687,3,0.92062,1589.0,20002001,L,1726.0,11,BUF,4.0,234251,37
0,64,64,Connor Hellebuyck,0,157,2.49338,Hellebuyck,25,2.0,0,8476945,0,0.92006,1807.0,20222023,L,1964.0,4,WPG,,226680,37
1,62,61,Jake Oettinger,0,144,2.37044,Oettinger,11,11.0,2,8479979,1,0.91948,1633.0,20222023,L,1776.0,5,DAL,,218693,37
3,67,67,Evgeni Nabokov,1,149,2.29201,Nabokov,24,,14,8460705,4,0.91804,1669.0,20012002,L,1818.0,7,SJS,5.0,234030,37
0,65,65,Martin Jones,0,143,2.26632,Jones,23,4.0,0,8474889,0,0.91753,1591.0,20152016,L,1734.0,6,SJS,,227152,37
0,70,69,Henrik Lundqvist,0,160,2.33653,Lundqvist,22,8.0,0,8468685,0,0.91696,1767.0,20062007,L,1927.0,5,NYR,,246519,37
1,58,58,Igor Shesterkin,0,144,2.47651,Shesterkin,13,8.0,2,8478048,1,0.91623,1575.0,20222023,L,1719.0,3,NYR,,209326,37
0,61,60,Ed Belfour,0,112,1.87666,Belfour,12,,18,8445386,0,0.9161,1223.0,19971998,L,1335.0,9,DAL,10.0,214849,37
2,65,64,Tuukka Rask,0,137,2.23394,Rask,20,5.0,0,8471695,2,0.9149,1473.0,20162017,L,1610.0,8,BOS,,220775,37
1,51,49,Manny Legace,0,106,2.18921,Legace,8,3.0,0,8459308,1,0.91479,1138.0,20052006,L,1244.0,7,DET,,174309,37
0,62,61,Sergei Bobrovsky,0,153,2.58106,Bobrovsky,24,1.0,2,8475683,0,0.91287,1603.0,20182019,L,1756.0,9,CBJ,,213400,37
1,73,72,Marty Turco,0,144,1.98198,Turco,21,,32,8460612,1,0.91262,1504.0,20032004,L,1648.0,9,DAL,13.0,261556,37
0,72,72,Henrik Lundqvist,0,160,2.23006,Lundqvist,24,10.0,2,8468685,0,0.91223,1663.0,20072008,L,1823.0,10,NYR,,258288,37
2,72,72,Olie Kolzig,0,177,2.482,Kolzig,26,,14,8448535,2,0.9088,1764.0,20002001,L,1941.0,5,WSH,8.0,256728,37
1,63,63,Jimmy Howard,0,168,2.78815,Howard,17,5.0,4,8470657,1,0.90819,1662.0,20102011,L,1830.0,2,DET,,216918,37
2,77,76,Arturs Irbe,0,180,2.45139,Irbe,29,,6,8456692,2,0.90755,1767.0,20002001,L,1947.0,6,CAR,9.0,264339,37
1,71,71,Miikka Kiprusoff,0,182,2.62774,Kiprusoff,24,6.0,2,8462147,1,0.90594,1753.0,20102011,L,1935.0,6,CGY,,249339,37
4,70,70,Ed Belfour,0,178,2.6715,Belfour,24,,61,8445386,4,0.90591,1714.0,19931994,L,1892.0,7,CHI,6.0,239865,37
1,67,66,Marc-Andre Fleury,0,168,2.65383,Fleury,21,6.0,10,8470594,1,0.90519,1604.0,20092010,L,1772.0,1,PIT,,227897,37
1,69,67,Cam Ward,0,180,2.74799,Ward,25,5.0,4,8470320,1,0.90374,1690.0,20072008,L,1870.0,4,CAR,,235808,37
6,66,66,Ron Hextall,0,190,3.00664,Hextall,21,,89,8447775,6,0.9015,1739.0,19861987,L,1929.0,1,PHI,6.0,227496,37
4,52,47,Mike Vernon,0,130,2.6551,Vernon,6,,18,8452217,4,0.89707,1133.0,19881989,L,1263.0,0,CGY,5.0,176264,37
